UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),Total,latitude,longitude
MT, Mato Grosso,144343,0.18026470911470563,153399,0.19157441728027494,44416,0.05546952273431178,34548,0.043145737378985125,0.0,0.0,0.0,0.0,215510,0.2691425802519707,208512,0.26040303323975184,0.0,0.0,0.0,0.0,800728,-12.64,-55.42
MS, Mato Grosso do Sul,160268,0.2389085824510982,165285,0.2463873327827749,19718,0.029393262714769972,22236,0.03314679935721803,0.0,0.0,0.0,0.0,150622,0.22452946630612045,152705,0.2276345563880185,0.0,0.0,0.0,0.0,670834,-20.51,-54.54
MG, Minas Gerais,1041146,0.20929463527030703,1017236,0.20448816746529885,262527,0.052774051587008826,248122,0.049878310527571655,0.0,0.0,6116.0,0.001229458682368465,1211763,0.24359263265579761,1179331,0.23707304403797974,8306.0,0.0016696997736678335,0.0,0.0,4974547,-18.1,-44.38
PA, Pará,196113,0.09068666666050106,217832,0.10072997696221192,88858,0.0410897585887667,63788,0.029496877274530712,0.0,0.0,0.0,0.0,806434,0.3729115935287029,778536,0.3600109871104917,6120.0,0.0028300133084612775,4853.0,0.0022441265663337546,2162534,-3.79,-52.48
PB, Paraiba,157035,0.15789521312108368,185369,0.18638442233286948,25865,0.026006684416702192,30178,0.03034331035481302,0.0,0.0,0.0,0.0,301134,0.3027835648613647,294971,0.2965868049131669,0.0,0.0,0.0,0.0,994552,-7.28,-36.72
PR, Paraná,879004,0.3359141408891634,900244,0.34403107363632474,45948,0.017559172592588063,39079,0.014934162656606359,11258.0,0.004302280078509541,7814.0,0.0029861446556647326,389517,0.14885514561563343,343888,0.1314178798755098,,0.0,0.0,0.0,2616752,-24.89,-51.55
PE, Pernambuco,368397,0.16299172779274929,396207,0.17529584522561753,74210,0.03283310157113094,66515,0.02942856422320138,0.0,0.0,4307.0,0.0019055675578339975,667478,0.2953156309189508,674332,0.29834808042937433,8773.0,0.0038814822811417834,0.0,0.0,2260219,-8.38,-37.86
PI, Piauí,91663,0.10611587622612152,114172,0.13217396136378634,31491,0.03645631343330235,30927,0.035803385270450024,0.0,0.0,,0.0,301984,0.3495990395936101,293564,0.33985142411272967,,0.0,,0.0,863801,-6.6,-42.28
RJ, Rio de Janeiro,781702,0.2162013109227986,818809,0.2264642781973,281927,0.07797471029181433,287803,0.07959988062908142,0.0,0.0,10099.0,0.00279315780055487,718951,0.19884578610424047,716330,0.19812087605421033,0.0,0.0,0.0,0.0,3615621,-22.25,-42.66
RN, Rio Grande do Norte,207230,0.22475261269625046,201667,0.2187192257135296,24050,0.026083580250662663,19735,0.02140371959446269,0.0,0.0,0.0,0.0,232515,0.2521756200408661,236839,0.2568652417042285,,0.0,,0.0,922036,-5.81,-36.59
RS, Rio Grande do Sul,1011158,0.39567525263889025,992032,0.3881910761976502,85053,0.033282006632688,80156,0.03136576632981481,0.0,0.0,0.0,0.0,212821,0.0832787783332192,174305,0.06820711986773755,0.0,0.0,0.0,0.0,2555525,-30.17,-53.5
RO, Rondônia,75589,0.16183031891206795,74854,0.1602567396293632,17725,0.037947881341417466,15511,0.03320787517555578,0.0,0.0,0.0,0.0,148963,0.3189184907340801,134446,0.2878386942075155,0.0,0.0,,0.0,467088,-10.83,-63.34
RR, Roraima,13672,0.09876257828696915,16271,0.11753700346015762,3979,0.028743146504085007,6921,0.04999530458777893,,0.0,,0.0,47237,0.34122644167214466,45509,0.32874386887519597,2422.0,0.017495828306834355,2422.0,0.017495828306834355,138433,1.99,-61.33
SC, Santa Catarina,636208,0.3990433617067451,686171,0.4303812315244055,30526,0.019146564738984892,18733,0.011749741114309244,0.0,0.0,0.0,0.0,113778,0.07136401241145984,108917,0.06831508850409544,0.0,0.0,0.0,0.0,1594333,-27.45,-50.95
SP, São Paulo,3004007,0.29112036500439004,3219898,0.3120425089012461,348607,0.03378374187646214,306863,0.029738302396213504,41883.0,0.004058910064949539,55114.0,0.005341135289249311,1740583,0.1686810843917595,1601825,0.15523395207572988,0.0,0.0,0.0,0.0,10318780,-22.19,-48.79
SE, Sergipe,61245,0.10264794662206214,69163,0.11591868613309958,30276,0.05074323180552785,32000,0.053632693148926255,0.0,0.0,,0.0,197858,0.33161429378313284,206109,0.34544314850725133,,0.0,0.0,0.0,596651,-10.57,-37.45
TO, Tocantins,36120,0.09782096488519848,39768,0.10770055735200923,15035,0.04071811204454483,13096,0.03546687032493243,0.0,0.0,0.0,0.0,132376,0.3585035450620995,132851,0.3597899503312155,0.0,0.0,0.0,0.0,369246,-9.46,-48.26
