UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),Total,latitude,longitude
MT, Mato Grosso,116473,0.149097463219434,130055,0.16648382525566863,35030,0.04484201606017509,28896,0.03698986286254124,0.0,0.0,0.0,0.0,235588,0.30157695916598715,235145,0.3010098734361939,0.0,0.0,0.0,0.0,781187,-12.64,-55.42
MS, Mato Grosso do Sul,137853,0.21940947745551026,144926,0.23066699984561295,17233,0.02742837315829767,14138,0.022502311826844566,0.0,0.0,0.0,0.0,173201,0.27567003188013195,140940,0.2243228058336026,0.0,0.0,0.0,0.0,628291,-20.51,-54.54
MG, Minas Gerais,949700,0.19541329180758016,934542,0.19229433352894554,290041,0.05967975841756592,269040,0.05535852587965817,0.0,0.0,0.0,0.0,1255866,0.2584109814985979,1150287,0.23668671074388328,0.0,0.0,10480.0,0.002156398123769022,4859956,-18.1,-44.38
PA, Pará,201279,0.0942160830011866,188612,0.08828682498929251,78966,0.03696295793536187,68870,0.03223715159699582,0.0,0.0,0.0,0.0,799517,0.37424351289930746,774110,0.36235082652461786,13570.0,0.0063519405716746516,11431.0,0.005350702481563223,2136355,-3.79,-52.48
PB, Paraiba,172611,0.18078482425923267,164833,0.17263850471361675,31669,0.03316865437003227,28440,0.029786748248562245,,0.0,,0.0,265036,0.2775865192969741,292198,0.30603474911158196,0.0,0.0,0.0,0.0,954787,-7.28,-36.72
PR, Paraná,854039,0.32720496961040635,896071,0.3433085424948584,52701,0.020191149471438685,36387,0.013940823813916993,14012.0,0.00536836846347885,10367.0,0.003971872385161664,389204,0.1491143647915945,357323,0.13689990896914453,0.0,0.0,0.0,0.0,2610104,-24.89,-51.55
PE, Pernambuco,361543,0.1608398265894668,360864,0.16053775949854193,90433,0.04023097677998261,81427,0.036224472772811295,0.0,0.0,0.0,0.0,701255,0.31196768460458796,652323,0.2901992797546094,0.0,0.0,0.0,0.0,2247845,-8.38,-37.86
PI, Piauí,73733,0.09310333506745393,84990,0.1073176521690818,38835,0.049037310530489375,38277,0.04833271881487168,,0.0,,0.0,288749,0.3646060094854713,267364,0.33760297393263194,,0.0,,0.0,791948,-6.6,-42.28
RJ, Rio de Janeiro,733702,0.20474372361877197,780576,0.21782418039946266,301651,0.0841774303100253,283296,0.07905536297611786,8985.0,0.002507315445118953,0.0,0.0,750601,0.20945948585662005,724703,0.2022325013938832,0.0,0.0,0.0,0.0,3583514,-22.25,-42.66
RN, Rio Grande do Norte,170269,0.19250093271981097,191449,0.21644639404868232,31087,0.03514601304677166,30374,0.03433991701620106,,0.0,,0.0,238783,0.26996076923946594,222548,0.2516059739290681,,0.0,,0.0,884510,-5.81,-36.59
RS, Rio Grande do Sul,922017,0.38708868911599725,921508,0.3868749965888963,87193,0.03660607566898566,72027,0.030238961983301754,0.0,0.0,0.0,0.0,207986,0.08731837709551972,161581,0.06783625190864372,9615.0,0.004036647638655593,0.0,0.0,2381927,-30.17,-53.5
RO, Rondônia,64849,0.14355349636185336,70781,0.15668491458601277,21066,0.04663291576367874,14053,0.03110853342955366,0.0,0.0,0.0,0.0,141573,0.31339417940811215,139419,0.30862596045078927,0.0,0.0,0.0,0.0,451741,-10.83,-63.34
RR, Roraima,14878,0.11213868475598267,13435,0.10126248351234218,4961,0.037392123610325984,4958,0.03736951196532881,,0.0,,0.0,48345,0.3643866591294517,43205,0.32564537403429433,0.0,0.0,2893.0,0.021805162992274356,132675,1.99,-61.33
SC, Santa Catarina,652765,0.4307215698953821,611236,0.40331900377099533,21503,0.014188576160579077,16477,0.01087221175639964,0.0,0.0,0.0,0.0,127542,0.08415753060840704,85992,0.0567411078082368,0.0,0.0,0.0,0.0,1515515,-27.45,-50.95
SP, São Paulo,2862295,0.282274940986752,2987178,0.29459070209986177,440665,0.043457675351397065,342493,0.033776110206451694,49479.0,0.004879539601991934,49333.0,0.004865141316216336,1742878,0.17187983230139045,1648918,0.1626136478392315,0.0,0.0,16857.0,0.0016624102967072501,10140096,-22.19,-48.79
SE, Sergipe,71109,0.12093017718875475,68552,0.11658166345530827,30428,0.051746803238681874,27862,0.04738298382529757,0.0,0.0,,0.0,193202,0.3285653305941835,196864,0.334793041697774,0.0,0.0,0.0,0.0,588017,-10.57,-37.45
TO, Tocantins,39515,0.10941376484139642,34697,0.09607312156654262,18988,0.052576200602516394,13172,0.03647217791954634,0.0,0.0,0.0,0.0,130936,0.36255094807726385,123844,0.34291378699273434,0.0,0.0,0.0,0.0,361152,-9.46,-48.26
