nome,latitude,longitude,cep,estado,uf
Inaciolândia,"-18,4989","-49,9016",75550-000,Goiás,GO
Indiara,"-17,2276","-49,9667",75955-000,Goiás,GO
Inhumas,"-16,3303","-49,513",75400-000,Goiás,GO
Ipameri,"-17,4697","-47,9775",75780-000,Goiás,GO
Ipiranga de Goiás,"-15,17","-49,670833",75780-000,Goiás,GO
Iporá,"-16,4554","-51,1598",76200-000,Goiás,GO
Israelândia,"-16,3578","-50,895",76205-000,Goiás,GO
Itaberaí,"-16,1122","-49,8386",76630-000,Goiás,GO
Itaguari,"-15,9118","-49,6183",76650-000,Goiás,GO
Itaguaru,"-15,7694","-49,6004",76660-000,Goiás,GO
Itajá,"-19,066944","-51,543889",76660-000,Goiás,GO
Itapaci,"-14,9209","-49,7023",76360-000,Goiás,GO
Itapirapuã,"-15,6739","-50,8002",76290-000,Goiás,GO
Itapuranga,"-15,5694","-49,9348",76680-000,Goiás,GO
Itarumã,"-18,8799","-51,3202",75810-000,Goiás,GO
Itauçu,"-16,2143","-49,6007",75450-000,Goiás,GO
Itumbiara,"-18,3295","-49,4418",75500-000,Goiás,GO
Ivolândia,"-16,6494","-51,1152",76130-000,Goiás,GO
Jandaia,"-17,129","-50,1948",75950-000,Goiás,GO
Jaraguá,"-15,6529","-49,4317",76330-000,Goiás,GO
Jataí,"-17,8583","-51,7053",75800-000,Goiás,GO
Jaupaci,"-16,1675","-51,1017",76210-000,Goiás,GO
Jesúpolis,"-15,9646","-49,3946",75495-000,Goiás,GO
Joviânia,"-17,7842","-49,5844",75610-000,Goiás,GO
Jussara,"-15,683","-51,2769",76270-000,Goiás,GO
Lagoa Santa,"-19,182778","-51,390833",76270-000,Goiás,GO
Leopoldo de Bulhões,"-16,5814","-48,906",75190-000,Goiás,GO
Luziânia,"-16,4951","-47,9355",72800-000,Goiás,GO
Mairipotaba,"-17,3077","-49,4562",75630-000,Goiás,GO
Mambaí,"-14,4422","-46,0581",73970-000,Goiás,GO
Mara Rosa,"-14,0129","-49,3951",76490-000,Goiás,GO
Marzagão,"-17,991","-48,6832",75670-000,Goiás,GO
Matrinchã,"-15,3382","-50,8265",76730-000,Goiás,GO
Maurilândia,"-18,0504","-50,3293",75930-000,Goiás,GO
Mimoso de Goiás,"-15,0483","-48,3445",73730-000,Goiás,GO
Minaçu,"-13,4268","-48,3878",76450-000,Goiás,GO
Mineiros,"-17,4013","-52,7139",75830-000,Goiás,GO
Moiporá,"-16,5017","-50,7681",76135-000,Goiás,GO
Monte Alegre de Goiás,"-13,2615","-46,8427",73830-000,Goiás,GO
Montes Claros de Goiás,"-15,9625","-51,506",76255-000,Goiás,GO
Montividiu,"-17,2581","-51,1574",75915-000,Goiás,GO
Montividiu do Norte,"-13,0923","-48,7416",76465-000,Goiás,GO
Morrinhos,"-17,7992","-49,0923",75650-000,Goiás,GO
Morro Agudo de Goiás,"-15,3231","-50,0158",76355-000,Goiás,GO
Mossâmedes,"-16,1649","-50,17",76150-000,Goiás,GO
Mozarlândia,"-14,765","-50,6296",76700-000,Goiás,GO
Mundo Novo,"-13,7165","-50,2372",76530-000,Goiás,GO
Mutunópolis,"-13,7026","-49,2999",76540-000,Goiás,GO
Nazário,"-16,5801","-49,8654",76180-000,Goiás,GO
Nerópolis,"-16,4388","-49,1812",75460-000,Goiás,GO
Niquelândia,"-14,5037","-48,392",76420-000,Goiás,GO
Nova América,"-15,051","-49,925",76345-000,Goiás,GO
Nova Aurora,"-18,1011","-48,2766",75750-000,Goiás,GO
Nova Crixás,"-14,2768","-50,5765",76520-000,Goiás,GO
Nova Glória,"-15,0636","-49,4835",76305-000,Goiás,GO
Nova Iguaçu de Goiás,"-14,2973","-49,3119",76495-000,Goiás,GO
Nova Roma,"-13,8408","-47,0083",73820-000,Goiás,GO
Nova Veneza,"-16,3546","-49,3",75470-000,Goiás,GO
Novo Brasil,"-16,0481","-50,6364",76285-000,Goiás,GO
Novo Gama,"-16,1254","-48,0704",72860-000,Goiás,GO
Novo Planalto,"-13,3836","-49,761",76580-000,Goiás,GO
Orizona,"-16,9923","-48,1527",75280-000,Goiás,GO
Ouro Verde de Goiás,"-16,236","-49,2277",75165-000,Goiás,GO
Ouvidor,"-18,2011","-47,7151",75715-000,Goiás,GO
Padre Bernardo,"-15,3412","-48,3137",73700-000,Goiás,GO
Palestina de Goiás,"-16,7285","-51,4585",75845-000,Goiás,GO
Palmeiras de Goiás,"-16,8682","-49,8982",76190-000,Goiás,GO
Palmelo,"-17,3194","-48,3943",75210-000,Goiás,GO
Palminópolis,"-16,8316","-50,2427",75990-000,Goiás,GO
Panamá,"-18,2013","-49,3889",75580-000,Goiás,GO
Paranaiguara,"-18,915833","-50,653889",75580-000,Goiás,GO
Paraúna,"-16,947778","-50,448889",75580-000,Goiás,GO
Perolândia,"-17,4723","-52,2068",75823-000,Goiás,GO
Petrolina de Goiás,"-16,1112","-49,2875",75480-000,Goiás,GO
Pilar de Goiás,"-14,53","-49,5109",76370-000,Goiás,GO
Piracanjuba,"-17,3226","-49,0242",75640-000,Goiás,GO
Piranhas,"-16,3947","-51,8248",76230-000,Goiás,GO
Pirenópolis,"-15,7976","-49,0067",72980-000,Goiás,GO
Pires do Rio,"-17,3492","-48,3939",75200-000,Goiás,GO
Planaltina,"-15,2146","-47,8868",73750-000,Goiás,GO
Pontalina,"-17,5087","-49,5994",75620-000,Goiás,GO
Porangatu,"-13,3701","-49,2542",76550-000,Goiás,GO
Porteirão,"-17,9024","-50,1567",75603-000,Goiás,GO
Portelândia,"-17,3425","-52,6962",75835-000,Goiás,GO
Posse,"-14,2451","-46,4696",73900-000,Goiás,GO
Professor Jamil,"-17,2941","-49,2557",75645-000,Goiás,GO
Quirinópolis,"-18,4571","-50,5715",75860-000,Goiás,GO
Rialma,"-15,3289","-49,5363",76310-000,Goiás,GO
Rianápolis,"-15,4747","-49,4479",76315-000,Goiás,GO
Rio Quente,"-17,8177","-48,802",75695-000,Goiás,GO
Rio Verde,"-17,7189","-51,0421",75900-000,Goiás,GO
Rubiataba,"-15,1682","-49,8979",76350-000,Goiás,GO
Sanclerlândia,"-16,3348","-50,4308",76160-000,Goiás,GO
Santa Bárbara de Goiás,"-16,6023","-49,6862",75390-000,Goiás,GO
Santa Cruz de Goiás,"-17,4515","-48,571",75220-000,Goiás,GO
Santa Fé de Goiás,"-15,623","-51,1385",76265-000,Goiás,GO
Santa Helena de Goiás,"-17,8054","-50,5389",75920-000,Goiás,GO
Santa Isabel,"-15,27","-49,378",76320-000,Goiás,GO
Santa Rita do Araguaia,"-17,2329","-53,0768",75840-000,Goiás,GO
Santa Rita do Novo Destino,"-14,8266","-49,0594",76395-000,Goiás,GO
Santa Rosa de Goiás,"-16,0699","-49,4815",75455-000,Goiás,GO
Santa Tereza de Goiás,"-13,5511","-48,995",76480-000,Goiás,GO
Santa Terezinha de Goiás,"-14,3105","-49,7145",76500-000,Goiás,GO
Santo Antônio da Barra,"-17,5122","-50,6307",75935-000,Goiás,GO
Santo Antônio de Goiás,"-16,5001","-49,311",75375-000,Goiás,GO
Santo Antônio do Descoberto,"-16,0807","-48,296",72900-000,Goiás,GO
São Domingos,"-13,5344","-46,5109",73860-000,Goiás,GO
São Domingos,"-13,5344","-46,5109",73860-000,Goiás,GO
São Francisco de Goiás,"-15,9522","-49,2489",75490-000,Goiás,GO
São João d Aliança,"-14,705833","-47,525",75490-000,Goiás,GO
São João da Paraúna,"-16,815","-50,41",76100-000,Goiás,GO
São Luís de Montes Belos,"-16,4542","-50,3881",76100-000,Goiás,GO
São Luíz do Norte,"-14,8928","-49,2821",76365-000,Goiás,GO
São Miguel do Araguaia,"-12,9863","-50,265",76590-000,Goiás,GO
São Miguel do Passa Quatro,"-16,9996","-48,6619",75185-000,Goiás,GO
São Patrício,"-15,3443","-49,8329",76343-000,Goiás,GO
São Simão,"-19,0108","-50,6061",75890-000,Goiás,GO
Senador Canedo,"-16,7232","-49,1074",75250-000,Goiás,GO
Serranópolis,"-18,2704","-52,2475",75820-000,Goiás,GO
Silvânia,"-16,658889","-48,607778",75820-000,Goiás,GO
Simolândia,"-14,4382","-46,5923",73930-000,Goiás,GO
Sítio d Abadia,"-14,805","-46,252778",73930-000,Goiás,GO
Taquaral de Goiás,"-16,0582","-49,5904",76640-000,Goiás,GO
Teresina de Goiás,"-13,7324","-47,2527",73795-000,Goiás,GO
Terezópolis de Goiás,"-16,428","-49,0742",75175-000,Goiás,GO
Três Ranchos,"-18,3683","-47,7985",75720-000,Goiás,GO
Trindade,"-16,648889","-49,488889",75720-000,Goiás ,GO
Trombas,"-13,4041","-48,7729",76460-000,Goiás,GO
Turvânia,"-16,5581","-50,1691",76110-000,Goiás,GO
Turvelândia,"-17,7959","-50,297",75970-000,Goiás,GO
Uirapuru,"-14,1413","-49,934",76525-000,Goiás,GO
Uruaçu,"-14,4224","-49,0637",76400-000,Goiás,GO
Uruana,"-15,5637","-49,6403",76335-000,Goiás,GO
Urutaí,"-17,4166","-48,1979",75790-000,Goiás,GO
Valparaíso de Goiás,"-16,065833","-47,978889",75790-000,Goiás,GO
Varjão,"-17,0776","-49,6211",75355-000,Goiás,GO
Vianópolis,"-16,8529","-48,4565",75260-000,Goiás,GO
Vicentinópolis,"-17,7071","-49,9077",75555-000,Goiás,GO
Vila Boa,"-14,9791","-47,0926",73825-000,Goiás,GO
Vila Propício,"-15,2022","-48,7757",72990-000,Goiás,GO
Açailândia,"-4,6921","-47,343",65930-000,Maranhão,MA
Afonso Cunha,"-4,2122","-43,2357",65505-000,Maranhão,MA
Água Doce do Maranhão,"-2,9125","-42,1413",65578-000,Maranhão,MA
Alcântara,"-2,3277","-44,5062",65250-000,Maranhão,MA
Aldeias Altas,"-4,5852","-43,4628",65610-000,Maranhão,MA
Altamira do Maranhão,"-4,1407","-45,4615",65310-000,Maranhão,MA
Alto Alegre do Maranhão,"-4,2029","-44,4197",65413-000,Maranhão,MA
Alto Alegre do Pindaré,"-3,8359","-46,0387",65398-000,Maranhão,MA
Alto Parnaíba,"-9,5348","-46,139",65810-000,Maranhão,MA
Amapá do Maranhão,"-1,6947","-45,9299",65293-000,Maranhão,MA
Amarante do Maranhão,"-5,5694","-46,641",65923-000,Maranhão,MA
Anajatuba,"-3,2741","-44,5328",65490-000,Maranhão,MA
Anapurus,"-3,5546","-43,1057",65525-000,Maranhão,MA
Apicum-Açu,"-1,4803","-45,0854",65275-000,Maranhão,MA
Araguanã,"-2,952778","-45,665",65525-000,Maranhão,MA
Araioses,"-2,8979","-42,023",65570-000,Maranhão,MA
Arame,"-5,0316","-45,8632",65945-000,Maranhão,MA
Arari,"-3,609","-44,7657",65480-000,Maranhão,MA
Axixá,"-2,8459","-44,1052",65108-000,Maranhão,MA
Bacabal,"-3,9856","-44,7418",65700-000,Maranhão,MA
Bacabeira,"-2,8687","-44,3451",65103-000,Maranhão,MA
Bacuri,"-1,6514","-45,2199",65270-000,Maranhão,MA
Bacurituba,"-2,6464","-44,6548",65233-000,Maranhão,MA
Balsas,"-8,425","-46,4857",65800-000,Maranhão,MA
Barão de Grajaú,"-6,6298","-43,2032",65660-000,Maranhão,MA
Barra do Corda,"-5,5583","-45,2885",65950-000,Maranhão,MA
Barreirinhas,"-2,7233","-42,8965",65590-000,Maranhão,MA
Bela Vista do Maranhão,"-3,7914","-45,2955",65335-000,Maranhão,MA
Belágua,"-3,1438","-43,4467",65535-000,Maranhão,MA
Benedito Leite,"-7,107","-44,5876",65885-000,Maranhão,MA
Bequimão,"-2,4181","-44,8012",65248-000,Maranhão,MA
Bernardo do Mearim,"-4,6717","-44,6428",65723-000,Maranhão,MA
Boa Vista do Gurupi,"-1,7308","-46,1963",65292-000,Maranhão,MA
Bom Jardim,"-3,5422592","-45,6091586",65723-000,Maranhão,MA
Bom Jesus das Selvas,"-4,5133","-46,6069",65395-000,Maranhão,MA
Bom Lugar,"-4,1452","-45,0759",65704-000,Maranhão,MA
Brejo,"-3,6804","-42,8823",65520-000,Maranhão,MA
Brejo de Areia,"-4,0278","-45,4693",65315-000,Maranhão,MA
Buriti,"-3,948","-42,8581",65515-000,Maranhão,MA
Buriti Bravo,"-5,7558","-43,8323",65685-000,Maranhão,MA
Buriticupu,"-4,5197","-46,3771",65393-000,Maranhão,MA
Buritirana,"-5,5925","-46,9972",65935-500,Maranhão,MA
Cachoeira Grande,"-3,0672","-43,9995",65165-000,Maranhão,MA
Cajapió,"-2,8962","-44,6507",65230-000,Maranhão,MA
Cajari,"-3,3851","-45,022",65210-000,Maranhão,MA
Campestre do Maranhão,"-6,1516","-47,2343",65968-000,Maranhão,MA
Cândido Mendes,"-1,4317","-45,6051",65280-000,Maranhão,MA
Cantanhede,"-3,6666","-44,252",65465-000,Maranhão,MA
Capinzal do Norte,"-4,7477","-44,2517",65735-000,Maranhão,MA
Carolina,"-7,5079","-47,1491",65980-000,Maranhão,MA
Carutapera,"-1,1802","-45,9597",65295-000,Maranhão,MA
Caxias,"-4,8171","-43,4207",65600-000,Maranhão,MA
Cedral,-2,"-44,535833",65600-000,Maranhão,MA
Central do Maranhão,"-2,2552","-44,841",65267-000,Maranhão,MA
Centro do Guilherme,"-2,2807","-46,0735",65288-000,Maranhão,MA
Centro Novo do Maranhão,"-3,3167","-46,7936",65299-000,Maranhão,MA
Chapadinha,"-3,6928","-43,4629",65500-000,Maranhão,MA
Cidelândia,"-5,0523","-47,8686",65921-000,Maranhão,MA
Codó,"-4,5995","-43,856",65400-000,Maranhão,MA
Coelho Neto,"-4,1841","-43,1439",65620-000,Maranhão,MA
Colinas,"-6,025833","-44,248889",65400-000,Maranhão,MA
Conceição do Lago-Açu,"-3,7359","-44,7967",65340-000,Maranhão,MA
Coroatá,"-4,0816","-44,2096",65415-000,Maranhão,MA
Cururupu,"-1,8057","-44,7068",65268-000,Maranhão,MA
Davinópolis,"-5,557778","-47,425833",65415-000,Maranhão,MA
Dom Pedro,"-4,8601","-44,5378",65765-000,Maranhão,MA
Duque Bacelar,"-4,1114","-43,0318",65625-000,Maranhão,MA
Esperantinópolis,"-4,8893","-44,7886",65750-000,Maranhão,MA
Estreito,"-6,7722","-47,1682",65975-000,Maranhão,MA
Feira Nova do Maranhão,"-6,9956","-46,65",65995-000,Maranhão,MA
Fernando Falcão,"-6,3529","-45,3281",65964-000,Maranhão,MA
Formosa da Serra Negra,"-6,6954","-46,1954",65943-000,Maranhão,MA
Fortaleza dos Nogueiras,"-6,8672","-46,021",65805-000,Maranhão,MA
Fortuna,"-5,668","-43,9906",65695-000,Maranhão,MA
Godofredo Viana,"-1,276","-45,7655",65285-000,Maranhão,MA
Gonçalves Dias,"-4,9909","-43,9087",65775-000,Maranhão,MA
Governador Archer,"-4,984","-44,2051",65770-000,Maranhão,MA
Governador Edison Lobão,"-5,7431","-47,3254",65928-000,Maranhão,MA
Governador Eugênio Barros,"-5,4258","-43,8803",65780-000,Maranhão,MA
Governador Luiz Rocha,"-5,5283","-44,1115",65795-000,Maranhão,MA
Governador Newton Bello,"-3,368","-45,6571",65363-000,Maranhão,MA
Governador Nunes Freire,"-2,0099","-45,8428",65284-000,Maranhão,MA
Graça Aranha,"-5,4449","-44,2517",65785-000,Maranhão,MA
Grajaú,"-5,8105","-45,9839",65940-000,Maranhão,MA
Guimarães,"-2,1199","-44,6348",65255-000,Maranhão,MA
Humberto de Campos,"-2,6456","-43,5785",65180-000,Maranhão,MA
Icatu,"-2,5635","-43,8218",65170-000,Maranhão,MA
Igarapé do Meio,"-3,7251","-45,1097",65345-000,Maranhão,MA
Igarapé Grande,"-4,6497","-44,839",65720-000,Maranhão,MA
Imperatriz,"-5,3867","-47,5382",65900-000,Maranhão,MA
Itaipava do Grajaú,"-5,1797","-45,6476",65948-000,Maranhão,MA
Itapecuru Mirim,"-3,4194","-44,31",65485-000,Maranhão,MA
Itinga do Maranhão,"-4,5283","-47,4886",65939-000,Maranhão,MA
Jatobá,"-5,816944","-44,222778",65485-000,Maranhão,MA
Jenipapo dos Vieiras,"-5,507","-45,5424",65962-000,Maranhão,MA
João Lisboa,"-5,2647","-47,1557",65922-000,Maranhão,MA
Joselândia,"-5,0075","-44,7316",65755-000,Maranhão,MA
Junco do Maranhão,"-1,9418","-46,1171",65294-000,Maranhão,MA
Lago da Pedra,"-4,5267","-45,0581",65715-000,Maranhão,MA
Lago do Junco,"-4,3598","-44,9357",65710-000,Maranhão,MA
Lago dos Rodrigues,"-4,4635","-44,8796",65712-000,Maranhão,MA
Lago Verde,"-3,9478","-44,7252",65705-000,Maranhão,MA
Lagoa do Mato,"-5,9553","-43,631",65683-000,Maranhão,MA
Lagoa Grande do Maranhão,"-4,7924","-45,1327",65718-000,Maranhão,MA
Lajeado Novo,"-6,1063","-46,9022",65937-000,Maranhão,MA
Lima Campos,"-4,553","-44,4799",65728-000,Maranhão,MA
Loreto,"-7,1192","-45,2314",65895-000,Maranhão,MA
Luís Domingues,"-1,2696","-45,8379",65290-000,Maranhão,MA
Magalhães de Almeida,"-3,3233","-42,1286",65560-000,Maranhão,MA
Maracaçumé,"-2,0211","-45,9768",65289-000,Maranhão,MA
Marajá do Sena,"-4,7001","-45,6314",65714-000,Maranhão,MA
Maranhãozinho,"-2,4313","-46,0138",65283-000,Maranhão,MA
Mata Roma,"-3,5822","-43,2318",65510-000,Maranhão,MA
Matinha,"-3,0959","-44,9921",65218-000,Maranhão,MA
Matões,"-5,4154","-43,4005",65645-000,Maranhão,MA
Matões do Norte,"-3,7788","-44,4075",65468-000,Maranhão,MA
Milagres do Maranhão,"-3,5055","-42,8647",65545-000,Maranhão,MA
Mirador,"-6,370833","-44,362778",65545-000,Maranhão,MA
Miranda do Norte,"-3,4767","-44,4787",65495-000,Maranhão,MA
Mirinzal,"-2,0477","-44,774",65265-000,Maranhão,MA
Monção,"-3,5329","-45,3069",65360-000,Maranhão,MA
Montes Altos,"-5,8553","-47,0801",65936-000,Maranhão,MA
Morros,"-2,9616","-43,8773",65160-000,Maranhão,MA
Nina Rodrigues,"-3,4638","-43,7716",65450-000,Maranhão,MA
Nova Colinas,"-7,2666","-46,2918",65808-000,Maranhão,MA
Nova Iorque,"-6,8449","-44,0966",65880-000,Maranhão,MA
Nova Olinda do Maranhão,"-2,9269","-45,7412",65274-000,Maranhão,MA
Olho d Água das Cunhãs,"-4,138889","-45,12",65274-000,Maranhão,MA
Olinda Nova do Maranhão,"-2,9976","-44,9657",65223-000,Maranhão,MA
Paço do Lumiar,"-2,4802","-44,1105",65130-000,Maranhão,MA
Palmeirândia,"-2,6592","-45,0671",65238-000,Maranhão,MA
Paraibano,"-6,432778","-43,983889",65238-000,Maranhão,MA
Parnarama,"-5,5291","-43,6035",65640-000,Maranhão,MA
Passagem Franca,"-6,1075","-43,7536",65680-000,Maranhão,MA
Pastos Bons,"-6,766","-44,2423",65870-000,Maranhão,MA
Paulino Neves,"-2,8859","-42,5881",65585-000,Maranhão,MA
Paulo Ramos,"-4,3743","-45,5147",65716-000,Maranhão,MA
Pedreiras,"-4,5827","-44,5992",65725-000,Maranhão,MA
Pedro do Rosário,"-2,857","-45,4564",65206-000,Maranhão,MA
Penalva,"-3,2323","-45,1307",65213-000,Maranhão,MA
Peri Mirim,"-2,5423","-44,9338",65245-000,Maranhão,MA
Peritoró,"-4,4405","-44,2818",65418-000,Maranhão,MA
Pindaré-Mirim,"-3,6252","-45,3938",65370-000,Maranhão,MA
Pinheiro,"-2,6991","-45,1224",65200-000,Maranhão,MA
Pio XII,"-3,7989","-45,2459",65707-000,Maranhão,MA
Pirapemas,"-3,7796","-44,2775",65460-000,Maranhão,MA
Poção de Pedras,"-4,704","-44,7939",65740-000,Maranhão,MA
Porto Franco,"-6,3463","-47,0726",65970-000,Maranhão,MA
Porto Rico do Maranhão,"-1,8552","-44,6093",65263-000,Maranhão,MA
Presidente Dutra,"-5,3048","-44,5051",65760-000,Maranhão,MA
Presidente Juscelino,"-2,927778","-44,065",65760-000,Maranhão,MA
Presidente Médici,"-2,386944","-45,82",65760-000,Maranhão,MA
Presidente Sarney,"-2,6207","-45,4393",65204-000,Maranhão,MA
Presidente Vargas,"-3,4238","-44,0102",65455-000,Maranhão,MA
Primeira Cruz,"-2,6508","-43,3289",65190-000,Maranhão,MA
Raposa,"-2,4311","-44,078",65138-000,Maranhão,MA
Riachão,"-7,361944","-46,616944",65138-000,Maranhão,MA
Ribamar Fiquene,"-5,9344","-47,2979",65938-000,Maranhão,MA
Rosário,"-2,96","-44,1743",65100-000,Maranhão,MA
Sambaíba,"-7,6149","-45,6775",65830-000,Maranhão,MA
Santa Filomena do Maranhão,"-5,4827","-44,5518",65768-000,Maranhão,MA
Santa Helena,"-2,230833","-45,3",65768-000,Maranhão,MA
Santa Inês,"-3,666944","-45,38",65768-000,Maranhão,MA
Santa Luzia,"-4,068889","-45,69",65768-000,Maranhão,MA
Santa Luzia do Paruá,"-3,0138","-46,0363",65272-000,Maranhão,MA
Santa Quitéria do Maranhão,"-3,4149","-42,7776",65540-000,Maranhão,MA
Santa Rita,"-3,143889","-44,325833",65540-000,Maranhão,MA
Santana do Maranhão,"-3,1351","-42,7488",65555-000,Maranhão,MA
Santo Amaro do Maranhão,"-2,6203","-43,165",65195-000,Maranhão,MA
Santo Antônio dos Lopes,"-4,8257","-44,4751",65730-000,Maranhão,MA
São Benedito do Rio Preto,"-3,331","-43,7404",65440-000,Maranhão,MA
São Bento,"-2,695833","-44,820833",65440-000,Maranhão,MA
São Bernardo,"-3,4361","-42,4055",65550-000,Maranhão,MA
São Domingos do Azeitão,"-6,858","-44,5828",65888-000,Maranhão,MA
São Domingos do Maranhão,"-5,6397","-44,3484",65790-000,Maranhão,MA
São Félix de Balsas,"-6,9488","-44,8346",65890-000,Maranhão,MA
São Francisco do Brejão,"-5,1388","-47,3489",65929-000,Maranhão,MA
São Francisco do Maranhão,"-6,2335","-42,9525",65650-000,Maranhão,MA
São João Batista,"-2,955","-44,806944",65650-000,Maranhão,MA
São João do Carú,"-3,591","-46,3596",65385-000,Maranhão,MA
São João do Paraíso,"-6,460833","-47,057778",65385-000,Maranhão,MA
São João do Soter,"-4,965","-43,7395",65615-000,Maranhão,MA
São João dos Patos,"-6,5178","-43,5978",65665-000,Maranhão,MA
São José de Ribamar,"-2,5807","-44,1115",65110-000,Maranhão,MA
São José dos Basílios,"-5,0592","-44,5946",65762-000,Maranhão,MA
São Luís,"-2,6495","-44,3044",65000-000,Maranhão,MA
São Luís Gonzaga do Maranhão,"-4,3787","-44,7159",65708-000,Maranhão,MA
São Mateus do Maranhão,"-3,9797","-44,572",65470-000,Maranhão,MA
São Pedro da Água Branca,"-5,1615","-48,361",65920-000,Maranhão,MA
São Pedro dos Crentes,"-6,8544","-46,6513",65978-000,Maranhão,MA
São Raimundo das Mangabeiras,"-6,9585","-45,7431",65840-000,Maranhão,MA
São Raimundo do Doca Bezerra,"-5,1102","-45,0689",65753-000,Maranhão,MA
São Roberto,"-4,9814","-44,991",65758-000,Maranhão,MA
São Vicente Ferrer,"-2,893889","-44,88",65758-000,Maranhão,MA
Satubinha,"-3,7507","-45,095",65709-000,Maranhão,MA
Senador Alexandre Costa,"-5,2921","-43,8749",65783-000,Maranhão,MA
Senador La Rocque,"-5,4266","-47,1719",65935-000,Maranhão,MA
Serrano do Maranhão,"-1,5297","-44,8603",65269-000,Maranhão,MA
Sítio Novo,"-5,877778","-46,698889",65269-000,Maranhão,MA
Sucupira do Norte,"-6,4668","-44,2801",65860-000,Maranhão,MA
Sucupira do Riachão,"-6,4679","-43,4972",65668-000,Maranhão,MA
Tasso Fragoso,"-8,286","-45,8529",65820-000,Maranhão,MA
Timbiras,"-4,1969","-43,8257",65420-000,Maranhão,MA
Timon,"-5,1978","-42,8805",65630-000,Maranhão,MA
Trizidela do Vale,"-4,5222","-44,6175",65727-000,Maranhão,MA
Tufilândia,"-3,7661","-45,5561",65378-000,Maranhão,MA
Tuntum,"-5,5586","-44,7073",65763-000,Maranhão,MA
Turiaçu,"-1,6325","-45,3818",65278-000,Maranhão,MA
Turilândia,"-2,1241","-45,3472",65276-000,Maranhão,MA
Tutóia,"-2,8172","-42,3457",65580-000,Maranhão,MA
Urbano Santos,"-3,3797","-43,3814",65530-000,Maranhão,MA
Vargem Grande,"-3,6009","-43,8517",65430-000,Maranhão,MA
Viana,"-3,197","-45,0055",65215-000,Maranhão,MA
Vila Nova dos Martírios,"-5,0615","-48,068",65924-000,Maranhão,MA
Vitória do Mearim,"-3,5902","-44,9135",65350-000,Maranhão,MA
Vitorino Freire,"-4,0581","-45,3135",65320-000,Maranhão,MA
Zé Doca,"-3,2259","-46,0573",65365-000,Maranhão,MA
Abadia dos Dourados,"-18,3635","-47,47",38540-000,Minas Gerais,MG
Abaeté,"-19,111","-45,4305",35620-000,Minas Gerais,MG
Abre Campo,"-20,2727","-42,4391",35365-000,Minas Gerais,MG
Acaiaca,"-20,4036","-43,1008",35438-000,Minas Gerais,MG
Açucena,"-19,0301","-42,411",35150-000,Minas Gerais,MG
Água Boa,"-18,0642","-42,2303",39790-000,Minas Gerais,MG
Água Comprida,"-19,9912","-48,1104",38110-000,Minas Gerais,MG
Aguanil,"-20,9696","-45,4172",37273-000,Minas Gerais,MG
Águas Formosas,"-17,0485","-40,9727",39880-000,Minas Gerais,MG
Águas Vermelhas,"-15,6868","-41,5604",39990-000,Minas Gerais,MG
Aimorés,"-19,6255","-41,2095",35200-000,Minas Gerais,MG
Aiuruoca,"-21,947","-44,6478",37450-000,Minas Gerais,MG
Alagoa,"-22,1815","-44,6602",37458-000,Minas Gerais,MG
Albertina,"-22,1991","-46,6208",37596-000,Minas Gerais,MG
Além Paraíba,"-21,887778","-42,703889",37596-000,Minas Gerais,MG
Alfenas,"-21,3929","-45,9952",37130-000,Minas Gerais,MG
Alfredo Vasconcelos,"-21,1424","-43,7111",36272-000,Minas Gerais,MG
Almenara,"-16,1005","-40,7101",39900-000,Minas Gerais,MG
Alpercata,"-18,9838","-42,0014",35138-000,Minas Gerais,MG
Alpinópolis,"-20,8182","-46,3794",37940-000,Minas Gerais,MG
Alterosa,"-21,219","-46,1869",37145-000,Minas Gerais,MG
Alto Caparaó,"-20,433889","-41,867778",37145-000,Minas Gerais,MG
Alto Jequitibá,"-20,437","-41,9511",36976-000,Minas Gerais,MG
Alto Rio Doce,"-21,0193","-43,4054",36260-000,Minas Gerais,MG
Alvarenga,"-19,3987","-41,6814",35249-000,Minas Gerais,MG
Alvinópolis,"-20,1208","-43,154",35950-000,Minas Gerais,MG
Alvorada de Minas,"-18,7953","-43,37",39140-000,Minas Gerais,MG
Amparo do Serra,"-20,5238","-42,7988",35444-000,Minas Gerais,MG
Andradas,"-22,0698","-46,5723",37795-000,Minas Gerais,MG
Andrelândia,"-21,7113","-44,2791",37300-000,Minas Gerais,MG
Angelândia,"-17,6128","-42,1394",39685-000,Minas Gerais,MG
Antônio Carlos,"-21,317778","-43,746944",39685-000,Minas Gerais,MG
Antônio Dias,"-19,5623","-42,8885",35177-000,Minas Gerais,MG
Antônio Prado de Minas,"-21,0266","-42,155",36850-000,Minas Gerais,MG
Araçaí,"-19,242","-44,2243",35777-000,Minas Gerais,MG
Aracitaba,"-21,3524","-43,4086",36255-000,Minas Gerais,MG
Araçuaí,"-16,9082","-41,986",39600-000,Minas Gerais,MG
Araguari,"-18,5907","-48,2615",38440-000,Minas Gerais,MG
Arantina,"-21,8963","-44,2263",37360-000,Minas Gerais,MG
Araponga,"-20,6661","-42,5111",36594-000,Minas Gerais,MG
Araporã,"-18,4906","-49,1376",38435-000,Minas Gerais,MG
Arapuá,"-19,0307","-46,0958",38860-000,Minas Gerais,MG
Araújos,"-19,8754","-45,1568",35603-000,Minas Gerais,MG
