UF,Nome,Alfabetizacao,Alfabetizacao(%),EnsinoFundamental ,EnsinoFundamental(%),EJAEnsinoFundamental,EJAEnsinoFundamental(%),EnsinoMedio,EnsinoMedio(%),EJAEnsinoMedio,EJAEnsinoMedio(%),EnsinoSuperior,EnsinoSuperior(%),Especializacao,Especializacao(%),Mestrado,Mestrado(%),Doutorado,Doutorado(%),Total,latitude,longitude
RN,Rio Grande do Norte,525328.0,0.6218452549598334,56288.9,0.06663072475083866,12715.7,0.015051925099162342,131898.0,0.15613130356404403,9659.74,0.01143450088924577,100914.0,0.11945468746957451,3442.28,0.0040747218580451374,4542.33,0.005376881409256123,0.0,0.0,844788.95,-5.81,-36.59
PB,Paraíba,461621.0,0.30826565325782534,81316.4,0.05430223747744281,13863.3,0.009257766069587845,161463.0,0.10782329480670996,7101.06,0.004742013252696506,112059.0,0.07483182272560965,7002.01,0.004675868703477151,2373.12,0.0015847446001356319,650679.0,0.43451659910651497,1497477.8900000001,-7.28,-36.72
PE,Pernambuco,517457.0,0.39159074396588356,144793.0,0.10957354638366508,34419.3,0.02604714844670173,376189.0,0.2846847764776238,22376.9,0.016933942180026904,210142.0,0.15902705368461284,8497.67,0.006430696497054963,3752.52,0.002839756923854267,3795.57,0.0028723354405768764,1321422.96,-8.38,-37.86
AL,Alagoas,967393.0,0.42994056470892983,76147.1,0.03384222045740185,7965.09,0.0035399421874640915,144132.0,0.06405689670343642,5696.6,0.0025317522670940244,74866.3,0.03327299174137931,3788.08,0.001683544592903404,738038.0,0.32800782566821257,232036.0,0.10312426167317858,2250062.17,-9.62,-36.82
SE,Sergipe,223882.0,0.19059285391809708,55067.1,0.04687914055615567,8084.23,0.006882181092853815,87838.0,0.07477731618646345,4811.03,0.004095675123438162,58433.2,0.04974473317000451,1316.48,0.0011207318155371869,735229.0,0.6259073681374501,0.0,0.0,1174661.04,-10.57,-37.45
BA,Bahia,4445.51,0.0020394544337930974,369111.0,0.16933604142422443,46214.3,0.02120160769847427,636888.0,0.2921833615107419,21800.5,0.010001355611371119,291272.0,0.13362605681682935,12454.7,0.005713808570121964,1874.5,0.0008599592254083696,795694.0,0.3650383547090356,2179754.51,-13.29,-41.71
MG,Minas Gerais,2580.72,0.0014012357188489311,222211.0,0.1206523723306441,26801.1,0.014552008208733256,856559.0,0.46507992579649154,56348.4,0.0305951016692966,641494.0,0.348307567743605,20658.0,0.01121653161907577,10646.1,0.00578043940700177,4447.48,0.0024148175063029866,1841745.8,-18.1,-44.38
ES,Espírito Santo,0.0,0.0,46217.3,0.03934850965113482,5587.5,0.004757088745463621,135868.0,0.11567537067895325,8623.03,0.007341479904213901,112225.0,0.09554618066392034,3267.08,0.0027815283218844363,862775.0,0.7345498420344297,0.0,0.0,1174562.91,-19.19,-40.34
RJ,Rio de Janeiro,594037.0,0.2944574621124264,251459.0,0.12464539913394054,16867.7,0.008361129245608901,662827.0,0.32855589170303073,19000.7,0.00941843336418368,460912.0,0.22846889634343093,3527.8,0.0017486907967689184,5600.81,0.0027762585468142542,3162.95,0.0015678387537956375,2017394.96,-22.25,-42.66
SP,São Paulo,5330.12,0.0013937223556295649,279396.0,0.07305660121600975,18171.0,0.004751361868803108,2023598.0,0.5291313837976024,57355.1,0.01499723928905339,1342478.0,0.35103179675895985,60536.3,0.015829061003710617,35110.3,0.00918065822586747,2402.38,0.0006281754843638331,3824377.2,-22.19,-48.79
