UF,Nome,Alfabetizacao,Alfabetizacao(%),EnsinoFundamental ,EnsinoFundamental(%),EJAEnsinoFundamental,EJAEnsinoFundamental(%),EnsinoMedio,EnsinoMedio(%),EJAEnsinoMedio,EJAEnsinoMedio(%),EnsinoSuperior,EnsinoSuperior(%),Especializacao,Especializacao(%),Mestrado,Mestrado(%),Doutorado,Doutorado(%),Total,latitude,longitude
RN,Rio Grande do Norte,0.0,0.0,63585.7,0.19328575509242396,16188.2,0.049208366984828,138138.0,0.4199074263074443,7628.67,0.02318938442607256,95289.4,0.2896576373509142,5875.3,0.017859546987679914,2267.24,0.006891882850636972,0.0,0.0,328972.51,-5.81,-36.59
PB,Paraíba,0.0,0.0,76327.3,0.20197543354146033,14246.2,0.037697945837444166,154850.0,0.4097602808417844,8398.38,0.02222358764879577,113684.0,0.3008278189681461,5948.13,0.01573979605607648,3327.21,0.008804381685628632,1122.66,0.002970755420664112,377903.88,-7.28,-36.72
PE,Pernambuco,2816.48,0.0019130837203577067,132020.0,0.08967410127592755,28133.8,0.01910978056716172,333432.0,0.22648246429809935,25782.1,0.017512396958840264,229335.0,0.15577495846170916,10453.5,0.00710050157315489,1752.06,0.001190080335415101,708495.0,0.4812426328093341,1472219.9400000002,-8.38,-37.86
AL,Alagoas,281992.0,0.49318139021319524,55604.4,0.0972476357271504,7705.77,0.013476773671817405,137885.0,0.24114980563117544,7548.25,0.013201283826054466,78190.2,0.13674838838352782,1599.64,0.0027976420573655836,1256.25,0.002197080489713632,0.0,0.0,571781.51,-9.62,-36.82
SE,Sergipe,277883.0,0.5721847380655377,52669.3,0.10845056957278865,10618.1,0.021863571241327057,74330.8,0.1530534409380994,4858.99,0.010005073791534808,58606.2,0.12067515175817346,4589.51,0.009450191545359615,2096.69,0.0043172630871792525,0.0,0.0,485652.59,-10.57,-37.45
BA,Bahia,5299.83,0.003979550043223054,313559.0,0.23544599204181596,26902.7,0.020200768882740926,621433.0,0.4666232165956704,25988.6,0.01951438711304073,317778.0,0.23861396566216947,13968.3,0.010488553192980261,3576.35,0.002685418927980854,3260.36,0.0024481475403782225,1331766.1400000001,-13.29,-41.71
MG,Minas Gerais,2047.75,0.001130495563764819,158854.0,0.08769807949520037,47229.5,0.02607385678370432,859818.0,0.47467729686003624,58733.6,0.03242489280622018,639884.0,0.3532589541321389,29714.7,0.016404510574338893,12907.1,0.007125586273260357,2185.11,0.0012063275113359266,1811373.76,-18.1,-44.38
ES,Espírito Santo,275697.0,0.2748478876842671,48691.7,0.048541735647308557,5369.15,0.00535261368879597,136549.0,0.13612844613978023,9181.4,0.009153122435080287,107831.0,0.10749889399189039,7445.61,0.00742267845141897,1889.53,0.0018837104836688582,410435.0,0.4091709114777896,1003089.39,-19.19,-40.34
RJ,Rio de Janeiro,2108.91,0.0015000406393928295,222344.0,0.15815043597173864,16236.7,0.011548956498679203,617863.0,0.4394780287338824,23315.7,0.016584158421123422,489045.0,0.34785143723149226,21145.1,0.015040238475812302,11384.7,0.00809779111830071,2458.8,0.0017489129095784504,1405901.9099999997,-22.25,-42.66
SP,São Paulo,2660.04,0.0007466801751242962,266517.0,0.07481201795221201,35828.7,0.010057209662439613,1716014.0,0.48168961144785194,90490.8,0.02540100389134662,1364059.0,0.382894923760497,69337.5,0.019463217336085505,12638.8,0.0035477441682685053,4943.28,0.0013875916061745052,3562489.12,-22.19,-48.79
PR,Paraná,2302.17,0.0024867316146807653,79286.1,0.08564235111861446,20659.2,0.022315417963926585,380877.0,0.4114113541592349,29596.3,0.0319689922497367,362537.0,0.3916010630802767,34602.6,0.03737664002664992,10073.0,0.01088053773382476,5848.08,0.006316912053055287,925781.45,-24.89,-51.55
SC,Santa Catarina,560.06,0.0003555572191593473,57248.8,0.03634472043747035,5607.91,0.00356021298592275,253155.0,0.16071686572203794,16553.8,0.01050927238960112,251082.0,0.1594008100935029,14978.1,0.009508930443685712,5314.71,0.003374073328283353,970661.0,0.6162295573803365,1575161.3800000001,-27.45,-50.95
RS,Rio Grande do Sul,609418.0,0.3989249819508797,137921.0,0.09028307735519345,17998.7,0.011781947813552109,340935.0,0.2231760281472211,21226.8,0.013895061857173456,369661.0,0.24198006582172524,19959.7,0.01306561828210682,6290.2,0.004117564498369631,4240.23,0.0027756542737785534,1527650.63,-30.17,-53.5
MS,Mato Grosso do Sul,477065.0,0.32374675180177337,33736.9,0.022894598830057223,9109.71,0.006182048614667043,96427.8,0.06543801585400531,12150.4,0.00824552740840822,84406.0,0.05727975922061036,6311.82,0.004283339215740977,754367.0,0.5119299590547376,0.0,0.0,1473574.63,-20.51,-54.54
MT,Mato Grosso,373546.0,0.5519523163649903,31753.5,0.04691903507920235,1543.77,0.0022810776381885526,142212.0,0.21013273549950476,12849.5,0.01898644688775129,110171.0,0.1627888898455541,3388.75,0.00500722377453342,1307.71,0.0019322749102752045,0.0,0.0,676772.23,-12.64,-55.42
GO,Goiás,1286.06,0.00214324762092698,77123.5,0.12852802971289204,6806.08,0.011342483840441892,264821.0,0.44133009208085455,20606.0,0.034340357741335044,210232.0,0.3503563082925531,17450.2,0.02908114678529772,1727.15,0.0028783339256986716,0.0,0.0,600051.99,-15.98,-49.86
DF,Distrito Federal,0.0,0.0,26915.5,0.08633221134014998,6690.75,0.0214607658421396,102489.0,0.32873630465867737,10574.1,0.033916718468238745,153991.0,0.49393039536627725,8668.31,0.02780384428607811,2076.97,0.006661938770862562,360.97,0.00115782126757645,311766.6,-15.83,-47.86
